CPUDT,CPUDT
20170915,4
20170918,7
20170920,2
20170921,11
20170922,1
20170925,2
20170928,1
20170929,1
20171002,8
20171003,75
20171004,332
20171005,77
20171006,1
20171007,11
20171010,5
20171011,32
20171016,5
20171017,1
20171018,3
20171019,6
20171021,6
20171023,10
20171024,26
20171025,10
20171026,250
20171027,245
20171030,5
20171031,15
20171101,17
20171102,8
20171103,25
20171104,4
20171106,6
20171107,27
20171108,4
20171109,21
20171110,11
20171111,1
20171113,13
20171114,83
20171115,53
20171117,45
20171118,8
20171120,27
20171121,15
20171122,19
20171123,11
20171124,6
20171125,1
20171127,12
20171128,24
20171129,20
20171130,28
20171201,33
20171202,25
20171204,7
20171205,3
20171206,40
20171207,24
20171208,11
20171209,5
20171211,6
20171212,13
20171213,10
20171214,5
20171215,41
20171216,18
20171218,7
20171219,19
20171220,19
20171221,5
20171222,6
20171223,19
20171225,11
20171226,7
20171227,17
20171228,20
20171229,62
20180102,14
20180103,66
20180104,33
20180105,53
20180106,39
20180107,3
20180108,15
20180109,15
20180110,18
20180111,15
20180112,41
20180113,19
20180115,34
20180116,19
20180117,30
20180118,25
20180119,11
20180120,6
20180122,7
20180123,2
20180124,5
20180125,13
20180126,10
20180129,8
20180130,2
20180131,31
20180201,61
20180202,731
20180203,48
20180205,34
20180206,53
20180207,17
20180208,3
20180209,6
20180210,15
20180211,1
20180212,20
20180213,11
20180221,3
20180223,8
20180225,13
20180226,36
20180227,5
20180228,849
20180301,11897
20180302,5899
20180303,35
20180305,39
20180306,156
20180307,80
20180308,238
20180309,226
20180310,350
20180312,783
20180313,725
20180314,185
20180315,2755
20180316,242
20180317,635
20180319,2422
20180320,458
20180321,1140
20180322,1507
20180323,339
20180324,119
20180326,1051
20180327,254
20180328,79
20180329,286
20180330,266
20180331,1034
20180402,610
20180403,543
20180404,11274
20180405,3663
20180406,1243
20180407,159
20180408,38
20180409,228
20180410,468
20180411,365
20180412,249
20180413,97
20180414,20
20180416,241
20180417,266
20180418,152
20180419,141
20180420,263
20180421,719
20180422,47
20180423,250
20180424,448
20180426,332
20180427,8936
20180502,54961
20180503,2943
20180504,16767
20180505,1134
20180506,3
20180507,422
20180508,2070
20180509,1575
20180510,1240
20180511,512
20180512,165
20180514,198
20180515,316
20180516,567
20180517,403
20180518,277
20180519,888
20180520,163
20180521,594
20180522,1298
20180523,945
20180524,374
20180525,1813
20180526,204
20180528,953
20180529,317
20180530,11944
20180531,6463
20180601,5903
20180602,1776
20180603,35
20180604,1964
20180605,10045
20180606,3381
20180607,1776
20180608,346
20180609,887
20180611,732
20180612,466
20180613,48045
20180614,767
20180615,1661
20180616,2578
20180618,3760
20180619,839
20180620,576
20180621,1591
20180622,710
20180623,1071
20180625,521
20180626,883
20180627,1119
20180628,947
20180629,1816
20180630,1307
20180701,145
20180702,3424
20180703,2693
20180704,3857
20180705,1898
20180706,727
20180707,324
20180709,1815
20180710,479
20180711,981
20180712,834
20180713,939
20180714,935
20180716,582
20180717,870
20180718,787
20180719,972
20180720,597
20180721,1039
20180723,523
20180724,428
20180725,562
20180726,936
20180727,1204
20180728,1283
20180729,6
20180730,1091
20180731,1570
20180801,2237
20180802,3517
20180803,2012
20180804,654
20180806,2222
20180807,2211
20180808,986
20180809,887
20180810,592
20180811,933
20180813,477
20180814,550
20180815,958
20180816,582
20180817,740
20180818,1255
20180819,133
20180820,989
20180821,2452
20180822,664
20180823,785
20180824,521
20180825,1264
20180827,912
20180828,567
20180829,905
20180830,1056
20180831,1811
20180901,187
20180903,98
20180904,2498
20180905,3651
20180906,1322
20180907,1692
20180908,913
20180910,645
20180911,844
20180912,6301
20180913,2516
20180914,4437
20180915,3433
20180916,15
20180917,2435
20180918,2167
20180919,1341
20180920,1250
20180921,1111
20180922,13784
20180924,4835
20180925,1497
20180926,1751
20180927,22833
20180928,2603
20180929,6519
20180930,527
20181001,9136
20181002,11322
20181003,6889
20181004,6906
20181005,3448
20181006,1519
20181007,4
20181008,11700
20181009,2238
20181010,1280
20181011,1424
20181012,3554
20181013,1682
20181015,2051
20181016,1572
20181017,1199
20181018,2750
20181019,3133
20181020,2502
20181021,68
20181022,1783
20181023,1366
20181024,1705
20181025,1500
20181026,3213
20181027,2013
20181029,1218
20181030,2898
20181031,6019
20181101,6919
20181102,5355
20181103,2121
20181104,44
20181105,4674
20181106,3393
20181107,2256
20181108,2219
20181109,1213
20181110,1991
20181112,1995
20181113,1137
20181114,1183
20181115,1987
20181116,1605
20181117,1936
20181119,2835
20181120,930
20181121,2531
20181122,1520
20181123,2071
20181124,1828
20181126,5323
20181127,2260
20181128,3715
20181129,3225
20181130,2907
20181201,4628
20181202,137
20181203,5831
20181204,10632
20181205,12872
20181206,1642
20181207,11323
20181208,1419
20181209,1
20181210,1158
20181211,7584
20181212,3627
20181213,2459
20181214,2558
20181215,6432
20181216,78
20181217,2368
20181218,4853
20181219,2926
20181220,4642
20181221,4774
20181222,3585
20181223,169
20181224,5964
20181225,6973
20181226,7164
20181227,12245
20181228,5301
20181229,5632
20181231,603
20190101,27
20190102,9846
20190103,16766
20190104,10421
20190105,10876
20190106,360
20190107,4964
20190108,2542
20190109,2849
20190110,4716
20190111,2193
20190112,4103
20190113,34
20190114,3512
20190115,4711
20190116,10431
20190117,5945
20190118,4799
20190119,11673
20190120,43
20190121,5159
20190122,6139
20190123,4656
20190124,7449
20190125,4889
20190126,7787
20190127,27
20190128,4915
20190129,4449
20190130,4612
20190131,5592
20190201,49
20190202,17
20190209,2
20190211,13
20190212,23
20190213,38
20190214,7838
20190215,20633
20190216,29028
20190217,84
20190218,5777
20190219,8966
20190220,4823
20190221,3270
20190222,2451
20190223,2555
20190224,3
20190225,2032
20190226,3734
20190227,3386
20190228,4194
20190301,7210
20190302,6013
20190303,2
20190304,10345
20190305,6034
20190306,3188
20190307,3764
20190308,3508
20190309,781
20190310,5
20190311,3108
20190312,9840
20190313,2729
20190314,4582
20190315,3096
20190316,4202
20190317,19
20190318,4608
20190319,2050
20190320,5427
20190321,1983
20190322,3544
20190323,3101
20190324,15
20190325,4007
20190326,4658
20190327,3795
20190328,3081
20190329,5514
20190330,6105
20190331,43
20190401,13277
20190402,11953
20190403,10611
20190404,4494
20190405,1894
20190406,2039
20190407,14
20190408,5685
20190409,2440
20190410,2851
20190411,2591
20190412,5129
20190413,39
20190414,46
20190415,10
20190416,3410
20190417,3245
20190418,2764
20190419,6948
20190420,6883
20190421,38
20190422,2903
20190423,11647
20190424,3742
20190425,3477
20190426,7902
20190427,501
20190428,164
20190429,141
20190430,63
20190501,445
20190502,17417
20190503,48229
20190504,7224
20190505,679
20190506,4937
20190507,45622
20190508,3865
20190509,3690
20190510,3610
20190511,2044
20190512,59
20190513,4171
20190514,19523
20190515,23331
20190516,5578
20190517,7373
20190518,4851
20190519,154
20190520,3678
20190521,28538
20190522,2926
20190523,7770
20190524,10292
20190525,3062
20190526,189
20190527,8394
20190528,10037
20190529,18001
20190530,7641
20190531,12676
20190601,17692
20190602,422
20190603,14999
20190604,11980
20190605,9881
20190606,3547
